name,label
23.21,23.21 Formations immergées des eaux saumâtres ou salées
23.22,23.22 Scirpaies naines lagunaires
23.2,23.2 Eaux saumâtres ou salées végétalisées
23,"23 Eaux stagnantes, saumâtres et salées"
24.11,24.11 Ruisselets
24.12,24.12 Zone à Truites
24.13,24.13 Zone à Ombres
24.14,24.14 Zone à Barbeaux
24.15,24.15 Zone à Brèmes
24.161,24.161
24.16,24.16 Cours d'eau intermittents
24.1,24.1 Lits des rivières
24.21,24.21 Bancs de graviers sans végétation
24.221,24.221 Groupements d'Epilobes des rivières subalpines
24.222,24.222 Groupements alpins des bancs de graviers
24.223,24.223 Broussailles de Saules et de Myricaire germanique
24.224,24.224 Fourrés et bois des bancs de graviers
24.225,24.225 Lits de graviers méditerranéens
24.226,24.226 Graviers des rivières de plaine
24.22,24.22 Bancs de graviers végétalisés
24.2,24.2 Bancs de graviers des cours d'eau
24.31,24.31 Bancs de sable des rivières sans végétation
24.32,24.32 Bancs de sable riverains pourvus de végétation
24.3,24.3 Bancs de sable des rivières
24.41,24.41 Végétation des rivières oligotrophes acidiphiles
24.42,24.42 Végétation des rivières oligotrophes riches en calcaire
24.43,24.43 Végétation des rivières mésotrophes
24.44,24.44 Végétation des rivières eutrophes
24.4,24.4 Végétation immergée des rivières
24.51,24.51 Dépôts nus d'alluvions fluviatiles limoneuses
24.52,24.52 Groupements euro sibériens annuels des vases fluviatiles
24.53,24.53 Groupements méditerranéens des limons riverains
24.5,24.5 Dépôts d'alluvions fluviatiles limoneuses
24,24 Eaux courantes
2,2 Milieux aquatiques non marins
31.11,31.11 Landes humides atlantiques septentrionales
31.12,31.12 Landes humides atlantiques méridionales
31.13,31.13 Landes humides à Molinia caerulea
31.1,31.1 Landes humides
31.211,31.211
31.212,31.212
31.2121,31.2121
31.2122,31.2122
31.2123,31.2123
31.2124,31.2124
31.2125,31.2125
31.2126,31.2126
31.2127,31.2127
31.2128,31.2128
31.213,31.213 Landes hercyniennes à Vaccinium
31.214,31.214 Landes submontagnardes alpiennes à Vaccinium
31.215,31.215 Landes sub montagnardes pyrénéo cantabriques à Vaccinium
31.21,31.21 Landes submontagnardes à Vaccinium
31.221,31.221
31.222,31.222
31.223,31.223 Landes campino flandriennes à Callune et Genêt
31.224,31.224 Landes campino flandriennes à Erica cinerea
31.225,31.225
31.2251,31.2251
31.2252,31.2252
31.2253,31.2253
31.2254,31.2254
31.2255,31.2255
31.2256,31.2256
31.2257,31.2257
31.2258,31.2258
31.226,31.226 Landes montagnardes à Calluna et Genista
31.227,31.227 Landes à Empetrum nigrum
31.228,31.228
31.229,31.229
31.22A,31.22A Landes à Genista sagittalis{31.22A}
31.22,31.22 Landes sub atlantiques à Genêt et Callune
31.231,31.231 Landes à Ulex maritimus
31.232,31.232
31.233,31.233
31.2341,31.2341 Landes armoricaines à Erica vagans
31.2342,31.2342
31.23421,31.23421
31.23422,31.23422
31.234,31.234 Landes septentrionales à Erica vagans
31.2351,31.2351 Landes anglo armoricaines à Ulex gallii et Erica cinerea
31.2352,31.2352 Landes anglo armoricaines à Ulex gallii et Erica ciliaris
31.2353,31.2353 Landes anglo armoricaines à Ulex gallii et Calluna
31.2354,31.2354
31.235,31.235 Landes anglo armoricaines occidentales à Ajoncs
31.236,31.236 Landes pyrénéo cantabriques à Erica mackaiana et E. ciliaris
31.237,31.237 Landes pyrénéo cantabriques à Erica vagans et Erica cinerea
31.2381,31.2381 Landes anglo normandes à Ulex minor et Erica cinerea
31.2382,31.2382 Landes anglo normandes à Ulex minor et Erica ciliaris
31.2383,31.2383 Landes anglo normandes à Ulex minor et Calluna
31.238,31.238 Landes anglo normandes à Ajoncs nains
31.2391,31.2391 Landes aquitano ligériennes à Ulex minor et Erica cinerea
31.2392,31.2392 Landes aquitano ligériennes à Ulex minor et Erica ciliaris
31.2393,31.2393 Landes aquitano ligériennes à Ulex minor et Erica scoparia
31.239,31.239 Landes aquitano ligériennes à Ajoncs nains
31.23,31.23 Landes atlantiques à Erica et Ulex
31.2411,31.2411 Landes aquitaniennes à Erica et Cistus
31.2412,31.2412 Landes arides de Gascogne et de Sologne
31.2413,31.2413
31.241,31.241 Landes gasconnes
31.242,31.242
31.2421,31.2421
31.2422,31.2422
31.243,31.243
31.2431,31.2431
31.2432,31.2432
31.244,31.244
31.2441,31.2441
31.2442,31.2442
31.2443,31.2443
31.245,31.245
31.2451,31.2451
31.2452,31.2452
31.2453,31.2453
31.246,31.246
31.2461,31.2461
31.2462,31.2462
31.2463,31.2463
31.2464,31.2464
31.247,31.247
31.248,31.248
31.249,31.249
31.24,"31.24 Landes ibéro atlantiques à Erica, Ulex et Cistus"
31.2,31.2 Landes sèches
31.3,31.3
31.31,31.31
31.311,31.311
31.312,31.312
31.32,31.32
31.33,31.33
31.34,31.34
31.35,31.35
31.36,31.36
31.411,31.411 Landes à Loiseleuria
31.412,31.412 Landes alpines à Vaccinium
31.41,31.41 Landes naines à Azalée et à Vaccinium
31.42,31.42 Landes à Rhododendron
31.431,31.431 Fourrés à Juniperus communis subsp. nana
31.432,31.432 Fourrés à Juniperus sabina
31.433,31.433 Fourrés à Juniperus communis subsp. hemisphaerica
31.434,31.434
31.43,31.43 Fourrés à Genévriers nains
31.44,31.44 Landes à Empetrum et Vaccinium
31.45,31.45
31.451,31.451
31.452,31.452
31.453,31.453
31.46,31.46
31.47,31.47 Landes à Arctostaphylos uva ursi
31.48,31.48 Landes à Rhododendron hirsutum
31.491,31.491 Tapis de Dryas de haute montagne
31.492,31.492
31.493,31.493
31.494,31.494
31.495,31.495
31.49,31.49 Tapis à Dryade
31.4A,31.4A{31.4A}
